Year	age	pregrate	pregrate_exp	birthrate	abrate	abrate_ratio	pregnancies	births_lv	abortions	miscarriages_stillb	pop
1993	<15	16.5		7.1	7.2	50.1	28,930	12,554	12,600	3,770	1,756
1994	<15	15.6		7.0	6.6	48.7	28,970	12,901	12,260	3,810	1,855
1995	<15	14.4		6.6	5.9	47.4	26,800	12,242	11,010	3,550	1,861
1996	<15	13.1		5.8	5.5	48.6	24,970	11,148	10,540	3,280	1,911
1997	<15	11.9		5.3	5.1	49.2	22,940	10,121	9,810	3,010	1,920
1998	<15	11.6		5.0	5.0	50.2	21,840	9,462	9,530	2,850	1,890
1999	<15	10.6		4.6	4.5	49.5	20,640	9,054	8,890	2,700	1,956
2000	<15	10.1		4.3	4.4	50.6	19,830	8,519	8,730	2,580	1,972
2001	<15	9.3		3.9	4.2	51.4	18,380	7,781	8,220	2,380	1,980
2002	<15	8.6		3.6	3.9	51.6	17,360	7,315	7,800	2,240	2,015
2003	<15	8.0		3.2	3.7	53.7	16,480	6,661	7,710	2,100	2,058
2004	<15	7.5		3.2	3.4	51.5	16,070	6,781	7,210	2,080	2,147
2005	<15	7.4		3.2	3.3	50.9	15,720	6,722	6,960	2,040	2,123
2006	<15	7.1		3.0	3.1	50.9	14,960	6,396	6,620	1,940	2,103
2007	<15	7.0		3.0	3.1	51.0	14,520	6,195	6,450	1,880	2,074
2008	<15	6.7		2.8	3.0	51.7	13,700	5,764	6,170	1,770	2,046
2009	<15	6.0		2.5	2.8	52.8	12,230	5,029	5,630	1,570	2,040
2010	<15	5.5		2.2	2.5	53.3	11,050	4,497	5,140	1,410	2,023
2011	<15	4.8		2.0	2.2	52.9	9,680	3,974	4,460	1,240	2,021
2012	<15	4.4		1.8	2.0	52.2	8,820	3,672	4,010	1,140	2,021
2013	<15	3.6		1.5	1.6	51.6	7,350	3,098	3,300	950	2,028
